"rCRA"	"rError"
32118	20
32106	20
32093	20
32008	20
32521	20
32634	20
32346	20
31993	20
32234	20
32234	20
32857	20
32579	20
32206	20
31661	20
32295	20
32297	20
32561	20
32243	20
32373	20
32303	20
32125	20
32419	20
32244	20
32373	20
31876	20
31728	20
31775	20
32476	20
32559	20
32031	20
32355	20
32034	20
32868	20
31619	20
32364	20
32577	20
32884	20
32324	20
32240	20
32382	20
32247	20
32328	20
32198	20
32273	20
32317	20
32047	20
32447	20
32403	20
31920	20
31722	20
32285	20
32186	20
32359	20
32188	20
31733	20
32049	20
32287	20
31725	20
32581	20
32068	20
32654	20
32732	20
31938	20
32027	20
31798	20
32388	20
32357	20
32249	20
32160	20
32329	20
32408	20
32873	20
32102	20
32041	20
32202	20
32037	20
32588	20
32250	20
32713	20
32278	20
