"rCRA"	"rError"
28939	20
29640	20
29586	20
28927	20
29904	20
29060	20
29092	20
29280	20
28918	20
29168	20
29503	20
28824	20
28917	20
28958	20
29385	20
29036	20
29386	20
28941	20
29453	20
29177	20
28976	20
28888	20
29014	20
28724	20
28718	20
29157	20
29235	20
29496	20
29362	20
29672	20
29666	20
29070	20
28899	20
29034	20
29285	20
29119	20
28989	20
29055	20
29337	20
28971	20
29115	20
29235	20
29013	20
29108	20
29609	20
29554	20
29252	20
29403	20
29054	20
28856	20
29500	20
29311	20
29555	20
28702	20
29313	20
30051	20
29071	20
29375	20
29029	20
29023	20
29059	20
29215	20
29044	20
29223	20
29108	20
28785	20
29128	20
29025	20
29467	20
28959	20
29210	20
29035	20
29110	20
28950	20
28951	20
29309	20
28835	20
28948	20
29144	20
29073	20
