"rCRA"	"rError"
9316	50
9278	50
9226	50
8872	50
8825	50
9223	50
9204	50
9204	50
8897	50
9274	50
8915	50
9207	50
8719	50
9312	50
9334	50
9168	50
8788	50
8840	50
9268	50
9009	50
8927	50
9111	50
8864	50
9341	50
9204	50
8852	50
8881	50
8867	50
8930	50
8864	50
9346	50
8948	50
8817	50
8861	50
8768	50
9051	50
8958	50
8660	50
8779	50
8905	50
9233	50
9332	50
8833	50
8719	50
8863	50
8674	50
9411	50
9280	50
9136	50
8794	50
9234	50
8969	50
8975	50
8973	50
8831	50
8906	50
8918	50
9272	50
9244	50
8669	50
8895	50
8806	50
9183	50
8939	50
9328	50
8900	50
9362	50
9245	50
8944	50
9189	50
8839	50
9226	50
8933	50
8903	50
9344	50
8881	50
9095	50
9260	50
8809	50
8814	50
