"rCRA"	"rError"
8164	50
8146	50
7883	50
8446	50
8364	50
8192	50
8168	50
8224	50
7892	50
7979	50
8247	50
7990	50
8710	50
7955	50
7991	50
8764	50
7993	50
8917	50
7945	50
8750	50
8262	50
8144	50
7991	50
8180	50
8264	50
8108	50
8247	50
8586	50
8369	50
8170	50
8172	50
8177	50
8311	50
8134	50
8222	50
8265	50
8190	50
8065	50
8815	50
8223	50
8288	50
8257	50
8094	50
7979	50
8036	50
8188	50
8683	50
8054	50
8319	50
8113	50
8424	50
8246	50
8225	50
8332	50
8226	50
8365	50
8438	50
8332	50
8218	50
8499	50
8190	50
8718	50
8191	50
8149	50
8180	50
7986	50
8264	50
8338	50
7909	50
8253	50
8061	50
7888	50
8741	50
8013	50
8284	50
8224	50
8206	50
8098	50
8336	50
8443	50
