"rCRA"	"rError"
32362	50
32653	50
32666	50
31879	50
32546	50
32527	50
32678	50
32389	50
32173	50
32014	50
31703	50
31958	50
32384	50
32728	50
32575	50
32830	50
32035	50
32274	50
32311	50
31792	50
32187	50
32371	50
32363	50
32450	50
32533	50
32528	50
32540	50
32313	50
31760	50
32829	50
32742	50
32475	50
32244	50
32422	50
32360	50
32491	50
31848	50
32233	50
32431	50
32767	50
31829	50
32666	50
31900	50
31811	50
32446	50
32265	50
32191	50
32355	50
32191	50
32709	50
32222	50
32578	50
32261	50
32170	50
32603	50
31821	50
32198	50
32315	50
31739	50
32647	50
32171	50
32337	50
32362	50
32630	50
32668	50
32709	50
31877	50
32183	50
32267	50
32187	50
32092	50
32539	50
32542	50
32444	50
32390	50
32172	50
32048	50
32701	50
32630	50
32796	50
