"rCRA"	"rError"
25521	50
25347	50
25991	50
25246	50
25260	50
25577	50
25972	50
25442	50
25281	50
25397	50
26179	50
25909	50
25398	50
25254	50
25664	50
25232	50
25231	50
25350	50
25794	50
25410	50
25264	50
25985	50
25646	50
25111	50
25278	50
26253	50
25374	50
25241	50
25314	50
25483	50
25610	50
25484	50
26202	50
25305	50
25999	50
25282	50
25445	50
25400	50
25331	50
25262	50
25991	50
25501	50
25514	50
25089	50
25247	50
26013	50
25970	50
25331	50
25319	50
25417	50
25274	50
25886	50
25341	50
25281	50
26117	50
25602	50
25233	50
25321	50
25326	50
25361	50
25375	50
26015	50
25595	50
25899	50
25455	50
25441	50
25471	50
25300	50
25188	50
25357	50
25626	50
25940	50
25442	50
25395	50
25699	50
25249	50
25917	50
25239	50
25324	50
26277	50
