"rCRA"	"rError"
29946	50
30568	50
29962	50
29835	50
30138	50
30564	50
30346	50
29891	50
30435	50
29789	50
30446	50
30373	50
30244	50
29985	50
30270	50
30230	50
30733	50
30708	50
30766	50
30609	50
29845	50
29981	50
30427	50
29605	50
30929	50
30767	50
30556	50
29940	50
30751	50
29759	50
30702	50
30311	50
30448	50
30325	50
30520	50
30274	50
30455	50
30645	50
30678	50
30558	50
30716	50
30874	50
30594	50
30753	50
30003	50
30167	50
30665	50
30553	50
30218	50
30093	50
30594	50
30496	50
30788	50
29705	50
29710	50
30044	50
29858	50
30298	50
30025	50
30355	50
30258	50
30661	50
30607	50
30111	50
29776	50
30045	50
30348	50
30289	50
30564	50
30806	50
30727	50
30272	50
30535	50
29532	50
30708	50
30730	50
30522	50
30710	50
30286	50
30824	50
