"rCRA"	"rError"
26745	20
28059	20
26533	20
26823	20
27017	20
26896	20
27492	20
27507	20
27600	20
27724	20
27609	20
27471	20
27486	20
26598	20
27786	20
27107	20
27558	20
27652	20
27832	20
27633	20
27476	20
27876	20
26551	20
27702	20
27169	20
27810	20
27362	20
26651	20
27431	20
26624	20
27445	20
27853	20
26580	20
27566	20
27561	20
27582	20
26551	20
27761	20
27514	20
27295	20
27441	20
27404	20
27462	20
26787	20
27374	20
27464	20
27392	20
27617	20
27516	20
27841	20
27929	20
26782	20
27366	20
27735	20
28047	20
27457	20
27098	20
27751	20
26356	20
27483	20
27806	20
26616	20
27592	20
27576	20
26593	20
26720	20
27741	20
27937	20
27780	20
26383	20
27353	20
27377	20
27492	20
26522	20
27597	20
27633	20
27610	20
27138	20
27190	20
26506	20
