"rCRA"	"rError"
26249	20
26270	20
26159	20
25405	20
25925	20
26012	20
26110	20
26322	20
25259	20
26368	20
25261	20
25408	20
26278	20
25667	20
26324	20
26302	20
25262	20
25955	20
25832	20
25832	20
26077	20
25684	20
26064	20
25514	20
26150	20
25931	20
25237	20
25664	20
26028	20
26230	20
25269	20
25667	20
25420	20
25370	20
25339	20
25810	20
25509	20
25808	20
25385	20
26298	20
25886	20
26474	20
25689	20
26240	20
25992	20
26109	20
26268	20
26134	20
26030	20
26282	20
25515	20
25915	20
25816	20
25566	20
26402	20
26331	20
26230	20
26161	20
26127	20
26305	20
25291	20
25371	20
25789	20
25934	20
26314	20
26331	20
25804	20
25404	20
26318	20
26365	20
25923	20
25603	20
25986	20
25265	20
26402	20
26174	20
25683	20
25963	20
26028	20
26119	20
