"rCRA"	"rError"
5757	50
5248	50
5105	50
5310	50
5599	50
5136	50
5233	50
5172	50
5443	50
5101	50
5780	50
5074	50
5700	50
5845	50
5218	50
5684	50
5592	50
5634	50
5298	50
5115	50
5424	50
5092	50
5397	50
5344	50
5793	50
5355	50
5028	50
5646	50
5026	50
5613	50
5278	50
5079	50
5595	50
5318	50
5588	50
5498	50
5821	50
5826	50
5584	50
5813	50
5158	50
5325	50
5228	50
5580	50
5361	50
5085	50
4966	50
5766	50
5219	50
5443	50
5356	50
5220	50
5078	50
5657	50
5668	50
5034	50
5395	50
5535	50
5098	50
5471	50
5792	50
5559	50
5301	50
5401	50
5721	50
5004	50
5231	50
5341	50
5054	50
5745	50
5177	50
5120	50
5395	50
5320	50
5158	50
5746	50
5422	50
5590	50
5015	50
5590	50
