"rCRA"	"rError"
30077	20
29859	20
29995	20
30407	20
30447	20
30120	20
30267	20
29436	20
29485	20
29215	20
30136	20
29990	20
30114	20
29319	20
29490	20
29494	20
29350	20
30253	20
29931	20
29943	20
30087	20
29132	20
29432	20
29193	20
30027	20
29466	20
30322	20
30176	20
29813	20
29879	20
29448	20
29400	20
29856	20
30238	20
29425	20
29741	20
30183	20
30505	20
30162	20
30571	20
29581	20
29904	20
30055	20
29732	20
30068	20
29480	20
30379	20
29969	20
29509	20
29477	20
29300	20
29331	20
29575	20
29913	20
29084	20
29645	20
29912	20
29710	20
30288	20
29764	20
30367	20
29161	20
29730	20
29346	20
29789	20
29531	20
29209	20
29571	20
30312	20
29406	20
29873	20
30522	20
29678	20
30050	20
30433	20
30034	20
30510	20
29804	20
29302	20
30137	20
