"rCRA"	"rError"
3586	20
3812	20
3326	20
3591	20
3234	20
3333	20
3489	20
3064	20
3087	20
3381	20
3171	20
3061	20
3486	20
3513	20
3103	20
3190	20
3589	20
3484	20
3603	20
3365	20
3198	20
3732	20
3381	20
3462	20
3614	20
3166	20
3567	20
3174	20
3702	20
3307	20
3475	20
3436	20
3276	20
3542	20
3293	20
3577	20
3585	20
3365	20
3351	20
3403	20
3175	20
3283	20
3052	20
3546	20
3503	20
3461	20
3462	20
3742	20
3509	20
3826	20
3466	20
3684	20
3407	20
3111	20
3621	20
3684	20
3645	20
3285	20
3545	20
3579	20
3685	20
3450	20
3661	20
3723	20
3581	20
3636	20
3499	20
3567	20
3298	20
3564	20
3291	20
3784	20
3533	20
3456	20
3100	20
3622	20
3876	20
3289	20
3493	20
3357	20
