"rCRA"	"rError"
7251	50
7004	50
7153	50
6908	50
7357	50
7266	50
7302	50
7120	50
7522	50
7129	50
6937	50
7208	50
6997	50
7017	50
7276	50
7355	50
7523	50
7180	50
7493	50
7952	50
7733	50
7896	50
7710	50
7602	50
7383	50
7619	50
7167	50
7700	50
7323	50
7482	50
7422	50
7144	50
7162	50
7829	50
6958	50
7317	50
7558	50
7790	50
7286	50
7909	50
7098	50
7786	50
7086	50
7807	50
6933	50
6948	50
7277	50
7707	50
7422	50
6845	50
7048	50
7556	50
7804	50
6921	50
7666	50
6974	50
7446	50
7010	50
7304	50
7329	50
7264	50
7143	50
7796	50
7706	50
7478	50
7023	50
7466	50
7901	50
6920	50
7861	50
7293	50
7877	50
7754	50
7748	50
7288	50
7237	50
7076	50
7534	50
6902	50
7645	50
