"rCRA"	"rError"
7937	50
7799	50
8306	50
8114	50
7948	50
7912	50
8288	50
7966	50
8236	50
7934	50
8254	50
8332	50
7727	50
8336	50
7985	50
7959	50
8001	50
8032	50
8254	50
8314	50
8135	50
8081	50
7927	50
8216	50
7966	50
8101	50
8296	50
7911	50
8284	50
7696	50
7965	50
7962	50
8233	50
8125	50
7886	50
7886	50
8441	50
7950	50
8008	50
8202	50
7796	50
7992	50
7823	50
7667	50
7934	50
8061	50
8403	50
8283	50
8188	50
7777	50
8149	50
7911	50
7867	50
7915	50
8097	50
8342	50
8275	50
7977	50
7990	50
8322	50
7840	50
8315	50
8307	50
8176	50
7767	50
7969	50
8075	50
7944	50
8207	50
8409	50
8232	50
7787	50
7803	50
8214	50
8233	50
7946	50
8146	50
8293	50
7959	50
8486	50
