"rCRA"	"rError"
30429	50
30797	50
31250	50
30420	50
30554	50
30596	50
31027	50
30947	50
31021	50
30912	50
31221	50
30488	50
31319	50
31060	50
30679	50
30597	50
30961	50
30529	50
30625	50
31107	50
31111	50
30567	50
30453	50
30448	50
31338	50
30391	50
30591	50
31296	50
30562	50
30549	50
31119	50
30813	50
31134	50
31231	50
31029	50
31207	50
31463	50
31371	50
31184	50
30531	50
30474	50
30502	50
30833	50
30578	50
30723	50
30719	50
30640	50
30512	50
30599	50
30944	50
31488	50
31465	50
31236	50
30477	50
31270	50
31184	50
30639	50
30474	50
30639	50
30395	50
31170	50
31261	50
31152	50
30737	50
30475	50
30552	50
30331	50
31356	50
30636	50
30762	50
31184	50
30556	50
30740	50
30569	50
31028	50
31092	50
30497	50
30540	50
31000	50
31236	50
