"rCRA"	"rError"
25562	20
25304	20
25679	20
25282	20
25278	20
25394	20
25569	20
25653	20
25233	20
26122	20
25266	20
25203	20
25296	20
25282	20
25322	20
25136	20
25333	20
25561	20
25238	20
25290	20
25403	20
25543	20
26161	20
25589	20
25876	20
25294	20
25400	20
26054	20
25399	20
25390	20
25324	20
26105	20
25491	20
25255	20
25290	20
25378	20
25316	20
25989	20
25871	20
26156	20
25524	20
25418	20
26194	20
26229	20
25380	20
26050	20
25416	20
25947	20
26038	20
26043	20
25273	20
25374	20
25362	20
25796	20
25268	20
26064	20
25918	20
25248	20
26188	20
25379	20
26081	20
25384	20
25791	20
25381	20
25999	20
25311	20
25602	20
25389	20
25375	20
25953	20
25305	20
25910	20
25243	20
25680	20
25936	20
25563	20
25661	20
25789	20
25791	20
25283	20
