"rCRA"	"rError"
3351	50
3278	50
3127	50
2801	50
2865	50
3121	50
2935	50
2734	50
3205	50
3380	50
3415	50
2846	50
3039	50
3390	50
3065	50
2999	50
3405	50
3108	50
3371	50
2829	50
3119	50
3104	50
3453	50
3076	50
3317	50
3180	50
2919	50
3149	50
2698	50
3282	50
3059	50
3280	50
3418	50
3284	50
2913	50
2825	50
2760	50
3042	50
3026	50
3508	50
2798	50
2746	50
3218	50
2988	50
3201	50
3519	50
3281	50
3423	50
3083	50
3528	50
3269	50
3270	50
3097	50
2635	50
3317	50
2931	50
3479	50
2877	50
3225	50
2962	50
2855	50
3041	50
3038	50
2728	50
2899	50
2710	50
3132	50
2846	50
2747	50
2984	50
3497	50
3289	50
3526	50
2959	50
2866	50
3020	50
3489	50
3353	50
2996	50
2899	50
