"rCRA"	"rError"
7604	20
7229	20
7860	20
7379	20
7961	20
7789	20
7739	20
7844	20
7392	20
7338	20
7660	20
7979	20
7792	20
7422	20
7305	20
7978	20
7634	20
7280	20
7980	20
7470	20
7691	20
7641	20
7760	20
7993	20
7441	20
7905	20
7295	20
7977	20
7277	20
7449	20
7465	20
7274	20
7594	20
7384	20
7927	20
7343	20
7190	20
7945	20
7438	20
7963	20
7261	20
7420	20
7671	20
7680	20
7701	20
7364	20
7934	20
7990	20
7500	20
7792	20
7851	20
7367	20
7923	20
7984	20
7727	20
7279	20
7741	20
7927	20
8009	20
7966	20
7854	20
7995	20
7278	20
7860	20
7583	20
7622	20
7975	20
7703	20
7828	20
7461	20
7694	20
7944	20
7656	20
7437	20
7181	20
7489	20
7688	20
7753	20
7289	20
7347	20
