"rCRA"	"rError"
4244	50
3972	50
3747	50
4103	50
3666	50
4123	50
4066	50
4406	50
3804	50
4127	50
4099	50
3755	50
4401	50
4079	50
4333	50
3709	50
3965	50
4056	50
4165	50
4398	50
4026	50
4315	50
3669	50
4185	50
3886	50
4009	50
3985	50
3890	50
4118	50
4194	50
4347	50
3973	50
4148	50
4074	50
3857	50
3757	50
3734	50
3675	50
3931	50
3885	50
3737	50
3816	50
4139	50
3712	50
3818	50
4008	50
3705	50
3921	50
4017	50
3750	50
4130	50
4036	50
3631	50
4236	50
3680	50
4136	50
3874	50
4202	50
4176	50
3893	50
3705	50
3686	50
4203	50
4166	50
3665	50
4151	50
4403	50
3722	50
4274	50
4138	50
3949	50
3956	50
3825	50
4098	50
4064	50
4180	50
3858	50
4044	50
4100	50
4245	50
