"rCRA"	"rError"
1100	50
1642	50
1017	50
1096	50
1028	50
1719	50
1114	50
1327	50
1447	50
1697	50
1723	50
1472	50
1616	50
1902	50
1576	50
1668	50
1786	50
1454	50
1849	50
1719	50
1501	50
1895	50
1150	50
1150	50
1196	50
1078	50
1259	50
1257	50
1099	50
1086	50
1797	50
1609	50
1168	50
1569	50
1476	50
1271	50
1506	50
1939	50
1483	50
986	50
1341	50
1117	50
1078	50
889	50
1677	50
1163	50
1407	50
1655	50
1266	50
1260	50
1731	50
1041	50
1469	50
1469	50
1384	50
1698	50
1562	50
1226	50
1843	50
1749	50
1154	50
1650	50
1282	50
1579	50
1905	50
1443	50
1378	50
1653	50
1252	50
1710	50
1561	50
2052	50
1700	50
1161	50
1828	50
1708	50
1171	50
1511	50
1608	50
1413	50
