"rCRA"	"rError"
2083	20
2002	20
2209	20
1904	20
2086	20
1753	20
1559	20
2008	20
1817	20
2294	20
2223	20
2160	20
1877	20
1742	20
1622	20
2129	20
2120	20
2183	20
1863	20
1846	20
2091	20
1858	20
2157	20
1850	20
1889	20
2028	20
2138	20
1701	20
1883	20
1915	20
1603	20
1617	20
1969	20
2142	20
2115	20
1772	20
1994	20
1867	20
1828	20
1781	20
2177	20
2108	20
1981	20
2159	20
2043	20
1717	20
2075	20
1904	20
1988	20
2225	20
1885	20
2094	20
1870	20
1952	20
1940	20
1812	20
2119	20
1857	20
1722	20
2058	20
1590	20
1818	20
1717	20
1946	20
2073	20
2086	20
1747	20
1737	20
2063	20
1782	20
1856	20
1906	20
1743	20
2027	20
2081	20
1751	20
1975	20
1539	20
1881	20
1925	20
