"rCRA"	"rError"
4012	50
4390	50
4034	50
4186	50
3899	50
4059	50
4451	50
3959	50
3915	50
4011	50
4525	50
4207	50
3845	50
4183	50
4507	50
3976	50
4440	50
4158	50
4568	50
4145	50
3957	50
4513	50
4147	50
3940	50
4061	50
4417	50
4108	50
4216	50
4811	50
3996	50
4493	50
4498	50
4484	50
4497	50
4182	50
3986	50
3929	50
4417	50
4405	50
4070	50
4117	50
4146	50
4065	50
4192	50
4081	50
4097	50
4100	50
4426	50
4178	50
3805	50
4119	50
4262	50
4352	50
4104	50
4515	50
4125	50
4483	50
4129	50
4432	50
4545	50
4411	50
4252	50
4409	50
4440	50
4406	50
4482	50
4113	50
4052	50
4061	50
4084	50
4163	50
4446	50
4508	50
4176	50
4529	50
4349	50
4028	50
3960	50
4451	50
4156	50
