"rCRA"	"rError"
33045	50
33450	50
33095	50
32834	50
33136	50
33288	50
32994	50
33446	50
32911	50
33240	50
33007	50
32801	50
32710	50
32914	50
32943	50
32770	50
33256	50
32883	50
32860	50
32824	50
32816	50
33115	50
32998	50
33066	50
32716	50
33040	50
33559	50
32988	50
33147	50
32999	50
33254	50
32803	50
32685	50
33348	50
33419	50
32881	50
32998	50
33397	50
33017	50
32752	50
32984	50
33252	50
33104	50
33242	50
32815	50
33199	50
32878	50
32854	50
32897	50
33397	50
33268	50
33299	50
32913	50
33451	50
33496	50
32997	50
32903	50
33129	50
33250	50
33299	50
33223	50
33334	50
33456	50
33064	50
33356	50
33242	50
32958	50
32903	50
32996	50
33245	50
32809	50
32880	50
33049	50
33088	50
33289	50
33306	50
33090	50
32877	50
33147	50
32876	50
