"rCRA"	"rError"
26382	50
26544	50
26473	50
27459	50
26342	50
27430	50
27279	50
26829	50
27415	50
26508	50
26474	50
27672	50
27294	50
26417	50
26510	50
27519	50
27576	50
26343	50
26202	50
26948	50
26172	50
27068	50
26264	50
26159	50
27548	50
26645	50
26496	50
27473	50
27191	50
26222	50
26312	50
26331	50
26474	50
26281	50
26348	50
27618	50
26648	50
26400	50
27433	50
26193	50
26250	50
26260	50
26676	50
27440	50
27059	50
26383	50
27157	50
26481	50
26463	50
27274	50
26360	50
26412	50
26497	50
26649	50
26230	50
27651	50
26778	50
27406	50
27149	50
26467	50
26311	50
26466	50
26325	50
26231	50
26782	50
26492	50
26496	50
27183	50
26327	50
27406	50
26361	50
26371	50
26416	50
26297	50
26673	50
26230	50
27353	50
26291	50
27175	50
27177	50
