"rCRA"	"rError"
27695	20
27574	20
26745	20
27732	20
27190	20
27464	20
27381	20
26816	20
27181	20
27855	20
26807	20
27110	20
27309	20
27940	20
28036	20
27938	20
26620	20
27645	20
27415	20
27817	20
27450	20
27872	20
26744	20
26696	20
27657	20
27597	20
27614	20
27363	20
26871	20
27430	20
26933	20
26471	20
27887	20
27543	20
27930	20
27575	20
27522	20
27342	20
27911	20
27961	20
27583	20
27792	20
27938	20
26731	20
26648	20
27379	20
27967	20
28028	20
27804	20
28020	20
27907	20
27225	20
27533	20
27966	20
27538	20
27956	20
28122	20
27629	20
27915	20
27162	20
27399	20
27539	20
27667	20
27558	20
27732	20
28140	20
27609	20
26781	20
27443	20
27579	20
27704	20
27985	20
27627	20
27052	20
27553	20
26893	20
27661	20
27675	20
26625	20
27037	20
