"rCRA"	"rError"
34162	50
34010	50
33882	50
34406	50
34534	50
34477	50
34188	50
34671	50
34776	50
34113	50
34446	50
34721	50
33878	50
34267	50
34850	50
34333	50
33869	50
34030	50
34476	50
33847	50
34414	50
33698	50
34146	50
34642	50
34608	50
34224	50
34583	50
34185	50
34087	50
34945	50
34050	50
33875	50
34194	50
33867	50
33608	50
33697	50
34530	50
33831	50
34017	50
33743	50
34701	50
34706	50
33891	50
34492	50
33794	50
33988	50
34843	50
34289	50
34535	50
33628	50
34766	50
34925	50
34319	50
34349	50
34114	50
34601	50
35001	50
34492	50
33950	50
33584	50
34045	50
34426	50
33999	50
34414	50
33811	50
33836	50
33595	50
34544	50
34293	50
33654	50
34099	50
34206	50
34205	50
34666	50
34723	50
34011	50
34456	50
34237	50
34374	50
33750	50
