"rCRA"	"rError"
758	20
916	20
1203	20
107	20
654	20
186	20
365	20
661	20
1106	20
380	20
958	20
622	20
171	20
525	20
964	20
805	20
586	20
661	20
1183	20
566	20
942	20
1002	20
56	20
1051	20
811	20
661	20
94	20
223	20
1244	20
1153	20
1249	20
391	20
174	20
348	20
867	20
548	20
281	20
156	20
160	20
212	20
270	20
1137	20
686	20
360	20
175	20
1053	20
467	20
611	20
368	20
344	20
375	20
1115	20
708	20
893	20
901	20
963	20
1007	20
973	20
796	20
988	20
443	20
1215	20
997	20
452	20
204	20
814	20
1212	20
1223	20
901	20
900	20
741	20
371	20
182	20
231	20
164	20
363	20
391	20
291	20
982	20
670	20
