"rCRA"	"rError"
3178	20
3102	20
3038	20
3213	20
3375	20
3396	20
3178	20
3509	20
3494	20
3177	20
3265	20
3484	20
3111	20
3067	20
3363	20
3190	20
3449	20
3034	20
2978	20
3473	20
3105	20
3065	20
3319	20
3379	20
3544	20
3520	20
3604	20
3237	20
3531	20
2965	20
3535	20
3379	20
2988	20
3702	20
3211	20
3217	20
3164	20
3359	20
3696	20
3471	20
3347	20
3427	20
3073	20
3099	20
3334	20
3265	20
3482	20
3569	20
3097	20
3603	20
3224	20
3230	20
3137	20
3003	20
3262	20
3565	20
3169	20
3374	20
3399	20
3353	20
3361	20
3483	20
2975	20
3609	20
3267	20
3452	20
3342	20
3682	20
3172	20
3110	20
3076	20
3082	20
3400	20
3201	20
3195	20
3276	20
3057	20
3212	20
3260	20
3069	20
