"rCRA"	"rError"
8152	20
8783	20
8788	20
8129	20
8281	20
8200	20
8451	20
8332	20
8740	20
8326	20
8399	20
8155	20
8409	20
8187	20
8731	20
8689	20
8529	20
8256	20
8651	20
8749	20
8407	20
8747	20
8223	20
8261	20
8233	20
8647	20
8340	20
8279	20
8700	20
8692	20
8824	20
8178	20
8219	20
8448	20
8324	20
8324	20
8134	20
8210	20
8211	20
8912	20
8082	20
8276	20
8685	20
8148	20
8628	20
8161	20
8250	20
8643	20
8279	20
8235	20
8761	20
8228	20
8607	20
8724	20
8497	20
8452	20
8720	20
8243	20
8280	20
8310	20
8651	20
8436	20
8877	20
8210	20
8304	20
8197	20
8710	20
8216	20
8223	20
8239	20
8222	20
8450	20
8442	20
8737	20
8278	20
8202	20
8165	20
8256	20
8659	20
8342	20
