"rCRA"	"rError"
8270	50
8223	50
8384	50
8768	50
8264	50
8709	50
8846	50
8749	50
8879	50
8664	50
8244	50
8590	50
8538	50
8175	50
8169	50
8821	50
8256	50
8272	50
8350	50
8711	50
8442	50
8692	50
8384	50
8313	50
8166	50
8206	50
8682	50
8253	50
8343	50
8266	50
8402	50
8158	50
8443	50
8669	50
8490	50
8225	50
8297	50
8151	50
8705	50
8787	50
8457	50
8570	50
8649	50
8181	50
8650	50
8173	50
8641	50
8282	50
8304	50
8697	50
8622	50
8277	50
8503	50
8715	50
8242	50
8757	50
8834	50
8860	50
8340	50
8185	50
8276	50
8326	50
8546	50
8774	50
8151	50
8489	50
8698	50
8706	50
8091	50
8720	50
8193	50
8662	50
8169	50
8631	50
8803	50
8682	50
8423	50
8416	50
8332	50
8147	50
