"rCRA"	"rError"
33615	50
33502	50
34092	50
33874	50
34037	50
33743	50
33948	50
33679	50
33618	50
34162	50
33429	50
33399	50
34009	50
33599	50
33556	50
34341	50
34132	50
33710	50
33610	50
33688	50
33517	50
34014	50
33777	50
33930	50
34130	50
33692	50
33711	50
33589	50
34255	50
33565	50
33963	50
33631	50
33646	50
34028	50
33716	50
33749	50
34095	50
33627	50
34056	50
33466	50
33700	50
34260	50
33614	50
34450	50
34295	50
33627	50
33402	50
33534	50
33321	50
34129	50
33506	50
33726	50
33638	50
33857	50
33956	50
33805	50
34034	50
33607	50
34241	50
33508	50
34590	50
33863	50
34101	50
33998	50
33776	50
34054	50
34093	50
33662	50
33710	50
33557	50
33796	50
33894	50
33700	50
33602	50
33501	50
33438	50
33529	50
34149	50
33638	50
34270	50
