"rCRA"	"rError"
26073	50
25583	50
25643	50
25813	50
26175	50
26129	50
25342	50
25833	50
25545	50
26133	50
25281	50
25843	50
26397	50
25811	50
26294	50
25803	50
25451	50
26291	50
25840	50
26372	50
26237	50
25812	50
26195	50
26336	50
26232	50
26307	50
25445	50
25483	50
26260	50
26181	50
26440	50
26179	50
26290	50
25742	50
25838	50
26048	50
26289	50
26334	50
26165	50
26133	50
26466	50
25449	50
26389	50
26368	50
25552	50
26287	50
26398	50
26221	50
25473	50
25440	50
25995	50
25398	50
25399	50
25701	50
25797	50
26277	50
26227	50
26260	50
26148	50
25392	50
26170	50
26023	50
26188	50
25439	50
25801	50
26409	50
25973	50
26282	50
26062	50
25410	50
26047	50
26308	50
25866	50
26325	50
26271	50
25881	50
25485	50
25756	50
26325	50
25431	50
