"rCRA"	"rError"
26255	20
26293	20
26492	20
27315	20
26614	20
26916	20
26301	20
26425	20
26208	20
26423	20
26732	20
26352	20
26305	20
26848	20
26270	20
26293	20
26626	20
26701	20
27037	20
26401	20
26528	20
26371	20
26901	20
26723	20
27316	20
26669	20
26372	20
26128	20
26928	20
26711	20
26256	20
26358	20
26354	20
26573	20
26687	20
27371	20
26878	20
26582	20
27048	20
26187	20
26392	20
27519	20
26264	20
27318	20
26289	20
27025	20
26336	20
27344	20
26200	20
26552	20
26525	20
26352	20
27405	20
26217	20
26264	20
26506	20
26663	20
26436	20
26255	20
26354	20
27278	20
26309	20
26394	20
26332	20
26364	20
26856	20
26152	20
26221	20
26231	20
26163	20
26396	20
26699	20
26429	20
26504	20
26373	20
27399	20
26365	20
26781	20
26572	20
26286	20
