"rCRA"	"rError"
1741	50
1310	50
1234	50
1583	50
1582	50
1907	50
1704	50
1270	50
2153	50
2041	50
1653	50
2087	50
1977	50
1487	50
1361	50
1275	50
1997	50
1488	50
1916	50
1672	50
1450	50
1281	50
1960	50
2150	50
1931	50
1886	50
1683	50
1232	50
1495	50
1590	50
1257	50
1636	50
1646	50
1406	50
1999	50
1373	50
1937	50
1854	50
1698	50
1164	50
1823	50
1631	50
1315	50
1242	50
1685	50
1974	50
1569	50
1808	50
1680	50
1196	50
1184	50
1761	50
1582	50
1511	50
1293	50
1907	50
1960	50
1787	50
1270	50
1759	50
1732	50
1210	50
1258	50
2030	50
1760	50
1627	50
1567	50
1582	50
1798	50
1733	50
1411	50
1341	50
1231	50
1152	50
1844	50
2099	50
1944	50
1609	50
1585	50
1171	50
