"rCRA"	"rError"
25509	20
25269	20
25665	20
25372	20
25299	20
25985	20
25121	20
25972	20
25630	20
25995	20
25194	20
25450	20
25948	20
25485	20
25461	20
25279	20
25185	20
26103	20
25690	20
25244	20
25393	20
25329	20
25270	20
25285	20
25304	20
25279	20
25403	20
25888	20
25305	20
26007	20
25841	20
25494	20
25310	20
25646	20
25215	20
25790	20
25775	20
25256	20
25273	20
26026	20
25865	20
25383	20
25607	20
25313	20
25283	20
25494	20
25302	20
25378	20
25488	20
25254	20
25610	20
25567	20
25492	20
25296	20
26075	20
26011	20
26058	20
25291	20
25328	20
25845	20
25283	20
25832	20
25302	20
25606	20
25386	20
26176	20
26086	20
25998	20
25366	20
25186	20
25176	20
25283	20
25913	20
25394	20
25273	20
25920	20
25494	20
25319	20
25223	20
25343	20
