"rCRA"	"rError"
281	20
619	20
932	20
464	20
642	20
928	20
947	20
976	20
117	20
331	20
677	20
318	20
320	20
341	20
913	20
974	20
1164	20
520	20
799	20
977	20
826	20
824	20
297	20
410	20
925	20
1117	20
614	20
881	20
840	20
857	20
309	20
380	20
810	20
152	20
693	20
899	20
411	20
278	20
1133	20
592	20
1003	20
670	20
636	20
1143	20
847	20
889	20
979	20
50	20
915	20
365	20
401	20
125	20
608	20
816	20
641	20
1173	20
799	20
808	20
883	20
713	20
1117	20
1214	20
800	20
345	20
1160	20
938	20
364	20
1236	20
951	20
972	20
370	20
1028	20
876	20
341	20
884	20
414	20
810	20
1034	20
694	20
323	20
