"rCRA"	"rError"
6101	20
6582	20
6621	20
5905	20
6297	20
6122	20
6000	20
6598	20
6301	20
6044	20
6783	20
6595	20
6194	20
6316	20
5963	20
6269	20
5976	20
6164	20
6631	20
6129	20
6780	20
6015	20
6053	20
6564	20
6050	20
6055	20
6152	20
6690	20
5922	20
6460	20
5941	20
6405	20
6046	20
5996	20
6127	20
6340	20
6046	20
6265	20
6282	20
6278	20
6106	20
6204	20
6005	20
6164	20
6322	20
6433	20
6787	20
6410	20
6457	20
6245	20
6651	20
6395	20
5925	20
6440	20
6243	20
6292	20
6124	20
6002	20
6017	20
6150	20
6272	20
6411	20
6212	20
6196	20
6172	20
6586	20
6360	20
6562	20
5947	20
6219	20
6597	20
6609	20
6196	20
6097	20
6446	20
5959	20
6531	20
6291	20
6407	20
5889	20
