"rCRA"	"rError"
15190	20
14462	20
14440	20
14429	20
14915	20
14488	20
14536	20
14505	20
14446	20
14571	20
14447	20
14771	20
14989	20
14558	20
14730	20
14683	20
14683	20
14645	20
14794	20
14527	20
14491	20
14543	20
14523	20
14598	20
14505	20
14471	20
14592	20
14809	20
14677	20
14756	20
14463	20
14459	20
14670	20
14788	20
14970	20
14438	20
14755	20
14631	20
15179	20
14796	20
15087	20
14435	20
14711	20
14703	20
14555	20
14373	20
14807	20
14533	20
14940	20
14704	20
14900	20
14761	20
14424	20
14416	20
14470	20
14616	20
14824	20
14617	20
15155	20
14789	20
14736	20
14570	20
14601	20
14790	20
14815	20
14622	20
14479	20
14555	20
14525	20
14648	20
14437	20
14400	20
14444	20
14538	20
14481	20
14346	20
14451	20
14491	20
14539	20
14743	20
